job_title,company,location,category,contract_type,created_date,avg_salary,description,skills,skills_count,salary_available
Data Engineer,People Tech Group Inc,"Hyderabad, Telangana",IT Jobs,,2025-11-25 08:51:46+00:00,,"Job Title: Data Engineer Location: Hyderabad Experience: 5Years (Work from Office) Job Summary: We are looking for a skilled and experienced Data Engineer with over 5 years of experience in data engineering and data migration projects. The ideal candidate should possess strong expertise in SQL, Python, data modeling, data warehousing, and ETL pipeline development. Experience with big data tools like Hadoop and Spark, along with AWS services such as Redshift, S3, Glue, EMR, and Lambda, is essent…","python, sql",2,0
Data Engineer,de facto Infotech,India,IT Jobs,,2025-12-07 10:28:16+00:00,,"Data Engineer – Azure / Microsoft Fabric Role Summary As a Data Engineer with 4–5 years of experience , you will design, implement, and maintain scalable, production‑grade data pipelines and data platform solutions. Your work will deliver reliable, high-quality data for analytics, reporting, ML/AI initiatives — enabling data-driven decision making across the business. What You’ll Do Build, deploy and manage end‑to‑end ETL / ELT pipelines using Azure Data Factory (ADF) , Azure Databricks (ADB) /…",,0,0
Data Modeler,EXL,"Pune, Maharashtra",IT Jobs,,2025-12-12 09:51:28+00:00,,"Job Description: Brings over a decade of comprehensive experience across Insurance, Finance, Health, Telecom, and Product domains, delivering data-driven solutions in analytics and product management. Recognized for strong techno-managerial capabilities, led the development of innovative, end-to-end solutions across industries. Core strengths include architecting, designing, and prototyping complex, scalable, and resilient platforms for modernization, data analytics, data migration, and data in…",,0,0
Data Engineer,People Tech Group Inc,"Bangalore, Karnataka",IT Jobs,,2025-12-19 08:58:57+00:00,,"We are Hiring - Data Engineer Bangalore! Job Title: AWS Data Engineer Location: Bangalore Experience: 5Years Notice : Immediate Joiners Job Summary: We are looking for a skilled and experienced Data Engineer with over 5 years of experience in data engineering and data migration projects. The ideal candidate should possess strong expertise in SQL, Python, data modeling, data warehousing, and ETL pipeline development. Experience with big data tools like Hadoop and Spark, along with AWS services s…","python, sql",2,0
Data Architect,ValueMomentum,"Hyderabad, Telangana",IT Jobs,,2025-12-09 09:04:06+00:00,,"Data / ETL Architect Experience: 14 years Skills : Databricks, ETL, Pyspark, Python, Presales Requirements Minimum eight years of relevant experience as a data architect or data engineer building large-scale data solutions. P&C domain experience a must. Bachelor’s degree in engineering, Information Technology, Computer Science, or a related field. Experience in architecting and large data modernization, data migration, data warehousing – experience with cloud-based data platforms (like Snowflak…",python,1,0
Data Modeler,Claidroid,"Pune, Maharashtra",IT Jobs,,2025-12-12 09:49:32+00:00,,"Role: Data Modeler – Azure / Data Vault 2.0 Company: Claidroid Technologies (Hiring for a leading global insurance/financial services client) Experience: 6 years overall; strong data modeling experience is mandatory Location: Pune/Trivandrum-Hybrid Mode of working Employment Type: Full-time About the Role We are hiring an experienced Data Modeler to work on strategic data platforms for a global insurance portfolio. In this role, you will design and implement conceptual, logical and physical dat…",,0,0
Data Engineer,EXL,India,IT Jobs,,2025-11-30 09:48:43+00:00,,"Key Responsibilities: Design and develop ETL/ELT pipelines using Azure Data Factory, Snowflake, and DBT. Build and maintain data integration workflows from various data sources to Snowflake. Write efficient and optimized SQL queries for data extraction and transformation. Work with stakeholders to understand business requirements and translate them into technical solutions. Monitor, troubleshoot, and optimize data pipelines for performance and reliability. Maintain and enforce data quality, gov…",sql,1,0
Data Architect,DAZN,"Hyderabad, Telangana",IT Jobs,,2025-12-20 09:04:38+00:00,,"Job Summary We are seeking an experienced Data Architect with expertise in Snowflake, dbt, Apache Airflow, and AWS to design, implement, and optimize scalable data solutions. The ideal candidate will play a critical role in defining data architecture, governance, and best practices while collaborating with cross-functional teams to drive data-driven decision-making. Key Responsibilities Data Architecture & Strategy: Design and implement scalable, high-performance cloud-based data architectures …",,0,0
Data Engineer,Tata Consultancy Services,"Bangalore, Karnataka",IT Jobs,,2025-12-18 08:44:01+00:00,,"TCS is Hiring Greetings from TCS TCS presents an excellent opportunity for Data Engineer Role: Hadoop Developer Desired Experience Range: 4-8 Years Location: Chennai/Bangalore/Hyderabad Desired Competencies (Technical/Behavioral Competency) Must Have - Strong experience in programming languages such as Python, Java, or Scala for data manipulation and engineering tasks. Expertise in SQL and NoSQL databases Hands-on experience with big data technologies like Hadoop, Spark, Kafka, and Hive to hand…","python, sql, excel",3,0
Data Architect,Best Infosystems Ltd.,"Bangalore, Karnataka",IT Jobs,,2025-08-04 17:19:43+00:00,,"Data Architect_Full-Time_Trivandrum/Bangalore/Chennai/Kochi Job Title: Data Architect Job Type: Full-Time Location: Trivandrum/Bangalore/Chennai/Kochi Exp: 10 years Job Description: •Design and implement scalable, secure, and cost-effective data architectures using GCP. •Lead the design and development of data pipelines with BigQuery, Dataflow, and Cloud Storage. •Architect and implement data lakes, data warehouses, and real-time data processing solutions on GCP. •Ensure data architecture align…",,0,0
Data Engineer,Tata Consultancy Services,"Kolkata, West Bengal",IT Jobs,,2025-10-20 09:02:40+00:00,,"Job Title: Data Engineer Exp Range: 6- 15 Yrs Job Location: Pan India - TCS Location Job Description: Required skill Azure Data Factory, Databricks, Delta Live Tables, Python, SQL, Terraform, YAML, Azure Services, Data Warehousing, CI/CD, Data Governance, Purview, Informatica • Strong proficiency in Azure Data Factory, Databricks, Delta Live Tables • Solid experience with Python, SQL, YAML, and Terraform • Hands-on experience in building and optimizing scalable data pipelines • Expertise in Dat…","python, sql",2,0
Data Engineer,Zemoso Technologies,"Hyderabad, Telangana",IT Jobs,,2025-12-15 12:32:14+00:00,,"Job Title: Data Engineer Experience : 5 Years Location : Chennai/Hyderabad/Mumbai/Pune/Bangalore (Hybrid) Key Responsibilities: ● Python Proficiency: Demonstrate a strong command of Python programming language, actively contributing to the development and maintenance of data engineering solutions. ● Data Engineering Expertise: Set up and maintain efficient data pipelines, ensuring smooth data flow and integration across systems. Experience with SQL and Data Warehouse/ Data Lakes is required. Co…","python, sql",2,0
Data Engineer,ITC Infotech,"Bangalore, Karnataka",IT Jobs,,2025-12-12 09:53:35+00:00,,"Data Engineer Location: Bangalore Mode: Hybrid Role Overview We are seeking an experienced Data Engineer to design, build, and optimize data pipelines and solutions on modern big data platforms. The ideal candidate will have strong expertise in PySpark , Databricks , and distributed data processing frameworks, with a passion for delivering scalable and efficient data solutions. Key Responsibilities Design, develop, and maintain ETL pipelines using PySpark and Databricks . Work with large-scale …",,0,0
Data Engineer,Trigent Software - Professional Services,"Bangalore, Karnataka",IT Jobs,,2025-11-27 09:44:13+00:00,,"Face-to-Face Interview for Shortlisted Candidates Only this Saturday (29th Nov 2025). Interested candidates, please share your updated CV to sharath_ss@trigent.com Experience: 5 to 8 Yrs Job Description: As a Data Engineer, you will be responsible for designing, developing, and maintaining robust data pipelines and data architectures to support advanced analytics and reporting initiatives. You will work closely with data scientists, analysts, and other stakeholders to deliver high-quality data …",,0,0
Data Engineer,Tata Consultancy Services,"Hyderabad, Telangana",IT Jobs,,2025-12-21 08:13:25+00:00,,"Job Title: Azure Data Engineer Location: Noida Positions: 2 Experience: 6–8 Years About the Role We are looking for experienced Azure Data Engineers to design, develop, and maintain robust data solutions on Microsoft Azure. The ideal candidate will have strong expertise in data ingestion, transformation, storage, and analytics, ensuring high-quality data delivery for business insights. Key Responsibilities Design and implement data ingestion pipelines from diverse sources (databases, APIs, stre…",,0,0
Data Modeler,"Prudent Technologies and Consulting, Inc.","Hyderabad, Telangana",IT Jobs,,2025-12-02 08:57:36+00:00,,"Key Responsibilities: Design and implement scalable data architectures to support data storage, processing, and analytics. Design and implement data schemas within Snowflake to effectively support analytics, reporting needs. Establish and enforce data access roles and policies. Develop strategies to make data AI-ready, including data cleansing, transformation, and enrichment processes. Provide guidance and support for analytical development and modelling to enhance data visualization and report…",,0,0
Data Engineer,RapidBrains,"Kochi, Ernakulam",IT Jobs,,2025-12-21 08:16:17+00:00,,"Job Title: Data Engineer Experience: 3 – 10 Years Location: Kochi Work Mode: Onsite Overview We are seeking a skilled and motivated Data Engineer to join our growing data team. The ideal candidate will have strong hands-on experience with Microsoft Fabric and will be responsible for building, optimizing, and maintaining scalable data pipelines and data architectures. You will collaborate closely with data analysts, BI developers, and software engineers to ensure reliable data availability and e…",,0,0
Data Engineer,ZEISS India,"Bangalore, Karnataka",IT Jobs,,2025-11-28 09:42:21+00:00,,"Purpose of the Job As a Data Platform Engineer, you will play a crucial role in developing, maintaining, and optimizing our data platform. Your expertise will drive the evolution of our platform, enabling seamless end-to-end transformation from raw data to insightful data products shared across the organization. You will collaborate closely with data product teams to understand their needs, challenges, and opportunities, ensuring the platform supports a wide range of data initiatives. You will …",,0,0
Data Architect,"Nitor Infotech, an Ascendion Company","Pune, Maharashtra",IT Jobs,,2025-12-06 09:41:53+00:00,,"Job Details: Job Title: Data Architect Experience: 10-12 years Location : Pune (Onsite) We are seeking an experienced Data Architect to design, build, and optimize our enterprise data ecosystem using Microsoft Azure and modern data engineering technologies. The ideal candidate will have strong expertise in SQL, Azure Databricks, Parquet file formats, Power BI, and end-to-end data architecture within the Microsoft ecosystem. This role involves collaborating with cross-functional teams—engineerin…",sql,1,0
Data Architect,HDFC Bank,"Bangalore, Karnataka",IT Jobs,,2025-11-30 09:48:43+00:00,,"Expertise in cloud-native data platforms (AWS, Azure, or GCP) and their Gen AI-related services (e.g., Amazon Bedrock, Azure OpenAI Service, Google Vertex AI). Ability to evaluate and recommend new and emerging Gen AI data technologies and tools to drive innovation. Deep knowledge and hands on experience in design and implementation of Big Data technologies (Apache Spark, Apache Flink, Databricks, Apache Airflow, Hadoop ecosystem, Streaming data, DevOps, Observability, Data lineage, Data Catalo…",,0,0
Data Modeler,LTIMindtree,"Ghaziabad, Uttar Pradesh",IT Jobs,,2025-12-10 16:51:54+00:00,,"LTIMindtree is proud to be an equal opportunity employer. We are committed to equal employment opportunity regardless of race, ethnicity, nationality, gender, gender-identity, gender expression, language, age, sexual orientation, religion, marital status, veteran status, socio-economic status, disability or any other characteristic protected by applicable law. We are Hiring for Data Modelers  Experience: 5 to 12 years Location: Ghaziabad Please share your updated resume – aditya.utekar2@ltimind…",,0,0
Data Architect,Nemetschek Group,"Hyderabad, Telangana",IT Jobs,,2025-12-01 11:54:12+00:00,,"DATA ARCHITECT We are looking for an experienced hands-on Data Architect to design and manage data architecture solutions that enable our organization to derive actionable insights from large and complex data sets. The ideal candidate will have a strong background in data architecture and data engineering, with experience in cloud platforms like Google Cloud Platform (GCP) as a significant advantage. WHAT WE DO BEST Nemetschek India Private Limited (formerly Spacewell) is a global organization …",,0,0
Data Engineer,IntraEdge,India,IT Jobs,,2025-11-08 09:59:01+00:00,,"We are seeking a highly skilled Data Engineer with strong experience in Python, PySpark, Snowflake, and AWS Glue to join our growing data team. You will be responsible for building scalable and reliable data pipelines that drive business insights and operational efficiency. This role requires a deep understanding of data modeling, ETL frameworks, and cloud-based data platforms. Job Title: Data Engineer Location: Remote Full-Time Responsibilities: Design, develop, and maintain scalable ETL/ELT p…",python,1,0
Data Engineer,ArcelorMittal Digital Consulting,"Hyderabad, Telangana",IT Jobs,,2025-12-10 16:52:20+00:00,,"Job Title – Data Engineer Job Nature – Full-time Experience – 5–6 years Position Overview We are seeking a motivated Data Engineer to design and build scalable data solutions that power analytics, reporting, and AI-driven initiatives. This role involves working with the latest data technologies, such as Databricks, Microsoft Fabric, or AWS, developing robust data pipelines, and collaborating with cross-functional teams to enable reliable and secure data access across the organization. Key Respo…",,0,0
Data Engineer,Stolt-Nielsen Digital Innovation Centre,"Hyderabad, Telangana",IT Jobs,,2025-12-12 08:53:28+00:00,,"About the Role: Were looking for a Data Engineer with strong Databricks, Python, and SQL skills to build and optimize the data infrastructure that powers our analytics and AI initiatives. In this role, youll design and maintain reliable data pipelines, ensure data quality and performance, and enable data-driven decision-making across the organization. We believe that Data Engineers become only more relevant in the age of Generative AI, as we are transitioning to using solutions like Databricks …","python, sql",2,0
Data Analyst,Vensure Employer Solutions,"Noida, Ghaziabad",IT Jobs,,2025-11-29 10:05:24+00:00,,"Job Title: Data Analyst Location: Noida Employment Type: Full-time About the Role We are looking for a detail-oriented Data Analyst to join our team. The ideal candidate will have strong analytical skills, experience in Data Modelling and Data Warehousing , and a proven ability to turn complex data into actionable insights. A Six Sigma Certification will be a significant advantage. Key Responsibilities Collect, clean, and analyze large datasets to identify trends and patterns. Design and implem…",,0,0
Data Architect,Emids,"Bangalore, Karnataka",IT Jobs,,2025-12-06 09:42:12+00:00,,"We’re Hiring: Data Architect @ Emids Technologies Key responsibilities: Design end-to-end data architecture supporting OLTP systems, ODS layers, and downstream data warehouses. Architect ODS solutions to serve as a bridge between real-time transactional systems and analytical platforms. Develop and optimize relational data models in PostgreSQL and DB2 aligned to business needs. Define data modeling standards, schema designs, and partitioning/indexing strategies for transactional and ODS workloa…",sql,1,0
Data Analyst,VXI Global Solutions,"Tamil Nadu, India",IT Jobs,,2025-12-20 08:59:32+00:00,,"Job Title: Data Analyst Job Description : As a Data Analyst at VXI Global Solutions, you will play a pivotal role in driving data-driven decision-making and providing actionable insights to enhance customer experience and management strategies. You will work closely with cross-functional teams to analyze data, generate reports, and deliver insights that inform business initiatives and drive operational excellence. This is an exciting opportunity to work with cutting-edge technologies and shape …",excel,1,0
Data Architect,Recloud Consulting,"Bangalore, Karnataka",IT Jobs,,2025-11-28 16:24:57+00:00,,"We are seeking an experienced Data Architect with 10 years of expertise in designing, implementing, and optimizing enterprise-scale data architectures. The ideal candidate will have very strong SQL skills , with the ability to design complex database solutions and performance-tuned queries. Experience with PL/SQL is highly valued. This role requires a strategic thinker with hands-on technical ability to drive our data ecosystem forward. Key Responsibilities Data Architecture & Strategy : Design…",sql,1,0
Data Engineer,DevRabbit IT Solutions,"Hyderabad, Telangana",IT Jobs,permanent,2025-12-18 08:39:41+00:00,,"Job Title: Data Engineer  Location: Hyderabad  Experience: 3–9 Years  Employment Type: Full-Time, Permanent Job Description: DBT Developer Position Summary We are seeking a skilled DBT (Data Build Tool) Developer to join our data engineering team. The ideal candidate will be responsible for designing, developing, and maintaining data transformation workflows using DBT, ensuring data quality and consistency across our analytics platforms. Key Responsibilities Ø Develop, build and test data trans…",,0,0
Data Engineer,Hexagon R&D India,"Hyderabad, Telangana",IT Jobs,,2025-12-10 16:54:27+00:00,,"Must Have - • Overall 5plus years of software development experience. • Understanding of the principles, tools and programs required for data engineering, reporting, analytics, visualisation and/or machine learning. • Experience analysing data and with data engineering projects. • Experience working with data pipelines. • Experience with coding such as SQL, NoSQL, Python, DBT models. • Experience in writing and maintaining technology and data documentation. Good to Have- • Experience working wi…","python, sql, machine learning",3,0
Data Analyst,Fuzen IT Solutions,"Hyderabad, Telangana",IT Jobs,permanent,2025-12-05 01:15:54+00:00,,"Company Description Fuzen IT Solutions is a global leader in leveraging advanced machine learning, artificial intelligence, and data science to deliver transformative business results. With a strong presence across Europe, the UK, and the USA, the company also operates a scalable delivery hub in India, specializing in data science, artificial intelligence, and statistics. Established in 2018, the India facility serves global clients while offering corporate and professional training in data sci…","machine learning, statistics",2,0
Data Architect,QualityKiosk Technologies,"Mumbai, Maharashtra",IT Jobs,,2025-11-28 09:46:34+00:00,,"Job Title: Data Architect Experience: 10–15 years Location: Navi Mumbai Notice Period: Immediate to 30 days Overview We are seeking an experienced Data Architect to define and drive enterprise-level data architecture, standards, and best practices across our data ecosystem. The ideal candidate will have deep expertise in designing data models for Enterprise Data Warehouses (EDW), Lakehouse platforms, and modern data fabrics, along with strong experience working with cloud platforms and modern d…",,0,0
Data Architect,Tech Mahindra,"Hyderabad, Telangana",IT Jobs,,2025-12-02 08:54:00+00:00,,"We are seeking a highly skilled professional who can design, implement, and optimize enterprise data architecture while also developing end-to-end technology solutions aligned with business objectives. This hybrid role combines data architecture expertise with solution design leadership , ensuring robust, scalable, and secure systems that meet organizational needs. Exp : 10yrs Location: Pan India Key Responsibilities Data Architecture Design and maintain data models , schemas, and integration f…",,0,0
Data Governance,LTIMindtree,"Ghaziabad, Uttar Pradesh",IT Jobs,,2025-12-19 08:56:24+00:00,,"Greetings From LTIM! We are seeking a Data Governance Specialist to establish and maintain robust data governance frameworks ensuring data quality, compliance, and transparency across the organisation. Key Responsibilities Implement and manage Data Governance policies and standards across business units. Drive MDM (Master Data Management) initiatives to ensure consistency and accuracy of critical data. Monitor and improve Data Quality through validation, profiling, and cleansing processes. Esta…",,0,0
Data Engineer,Tata Consultancy Services,"Pune, Maharashtra",IT Jobs,,2025-11-30 09:48:21+00:00,,"Experience- 5-10 yrs Location- Pune 5 years of experience with ETL/Python/SQL, and data visualization/exploration tools. • Experience in building complex SQL queries. • Familiarity with the Azure Databricks, Azure Data Factory Responsibilities: • Develops and maintains scalable data pipelines for extraction, transformation and loading of data from various data sources using ETL tools. • Collaborates with product owners to build data models that feed business intelligence tools. • Building analy…","python, sql",2,0
Data Architect,Acuity Analytics,"Bangalore, Karnataka",IT Jobs,,2025-12-18 08:41:12+00:00,,"Job Purpose We are seeking a tenured Data Architect to lead end-to-end data solution design, define current- and target-state architectures, conduct schema reviews, and shape enterprise reporting. The ideal candidate drives data lineage and governance, modernizes reporting tools, and leads cloud migrations leveraging medallion architecture, robust data-quality frameworks, and compliance-ready designs. The role includes consulting on cloud modernization paths, ensuring regulatory reporting, adva…",,0,0
Data Engineer,Inspire Brands Hyderabad Support Center,"Hyderabad, Telangana",IT Jobs,,2025-11-25 05:50:12+00:00,,"About Inspire Brands: Inspire Brands is disrupting the restaurant industry through digital transformation and operational efficiencies. The companys technology hub, Inspire Brands Hyderabad Support Center, India, will lead technology innovation and product development for the organization and its portfolio of distinct brands. The Inspire Brands Hyderabad Support Center will focus on developing new capabilities in data science, data analytics, eCommerce, automation, cloud computing, and informat…",,0,0
Data Engineer,DigiKey Global Capability Center,"Bangalore, Karnataka",IT Jobs,,2025-12-20 09:01:56+00:00,,"About the Role We are seeking a highly experienced Data Engineer for the development and optimization of our modern cloud data platform infrastructure. This role is ideal for someone who thrives in a fast-paced environment, is passionate about data architecture, and has a deep understanding of data transformation, modeling, and orchestration using modern tools like dbt-core , Snowflake , and Python . Key Responsibilities Develop and implement scalable data pipelines using dbt-core, Python, and …",python,1,0
Data Engineer,"Prudent Technologies and Consulting, Inc.","Hyderabad, Telangana",IT Jobs,,2025-10-05 17:31:48+00:00,,"Job Summary: Seeking an experienced Senior Data Engineer with over 9 years of industry experience to architect, build, and manage advanced data pipelines and platforms in a cloud environment. The ideal candidate will demonstrate hands-on expertise in ETL workflows, possess deep proficiency with Snowflake, and have a proven track record of implementing robust data governance and security practices. Key Responsibilities: Architect, develop, and optimize scalable data pipelines for ingestion, proc…",,0,0
Data Modeler,TriOptus,"Hyderabad, Telangana",IT Jobs,contract,2025-12-20 09:00:09+00:00,,Position Title: Data Modeler with Erwin Experience: 5 to 10 Yrs Shift Schedule: 2 pm to 11 pm Duration Required: 6 months Project (Extendable) Mode: Remote Location: Hyderabad OR Pune Employment Type: Contract 2 Hire Role Overview: We are looking for a detail-oriented Data Modeler to support the consolidation of multiple data marts into a unified enterprise data warehouse for a healthcare payer organization. The role involves working across teams to model core insurance domains such as membersh…,,0,0
Data Engineer,Tata Consultancy Services,"Hyderabad, Telangana",IT Jobs,,2025-12-11 09:25:21+00:00,,"Greetings from TCS! TCS has always been in the spotlight for being adept in the next big technologies. What we can offer you is a space to explore varied technologies and quench your techie soul. We are hiring Data Engineer role for Hyderabad Location Role: Data Engineer Required Skill: Python ,Databricks ,SQL Experience: 6-8 years Location: Hyderabad Minimum Qualification: 15 years of full time educationBE/B.TECH/BCA/MCA/MSC Job Description: Advanced working Python/Databricks/SQL knowledge and…","python, sql",2,0
Data Scientist,AllHeart Web,"Chandigarh, India",IT Jobs,,2025-12-12 09:46:49+00:00,,"Job Title: Data Scientist Position Summary: We are looking for a Data Scientist to help analyze our growing data, build data-driven solutions, and deliver actionable insights that will support key business decisions and innovations across teams. Key Responsibilities: - Collect, clean and preprocess structured/unstructured data from multiple sources - Analyze large datasets to discover trends, patterns and insights that can drive strategy - Build and train predictive / statistical / machine-lear…",,0,0
Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka",IT Jobs,,2025-12-11 09:26:57+00:00,,"Job Title : Data Analyst Location : Indiranagar, Bangalore Job Type : Full-time Experience : 4-6 years Job Overview We are looking for a skilled Data Management Specialist to support data validation, analysis, and reporting for clinical and preclinical studies. The role involves ensuring data accuracy, resolving discrepancies, and generating insights to support research objectives. Ideal candidates will be detail-oriented, collaborative, and experienced in data handling and compliance. Key Resp…",,0,0
Data Engineer,"Enterprise Minds, Inc","Hyderabad, Telangana",IT Jobs,,2025-12-18 08:40:55+00:00,,"Hiring: Data Engineer (AI-Enabled) Location: Hyderabad Mode: WFO Experience: 0–3 Years  Apply / Refer: nivetha.s@eminds.ai Role Overview We are looking for an AI-enabled Data Engineer to join our growing data team. This role focuses on building robust data pipelines, automation, and AI-ready datasets that support analytics and machine learning initiatives. Key Responsibilities Build and maintain data ingestion and transformation pipelines Write efficient and scalable SQL and Python code for dat…","python, sql, machine learning",3,0
Data Engineer,Ascendion,"Bangalore, Karnataka",IT Jobs,,2025-11-05 23:05:19+00:00,,"Location: Bengaluru, Chennai, Hyderabad and Pune (Hybrid Work model) Job Summary: We are looking for a talented GCP BigQuery Developer with strong SQL skills and basic proficiency in Python to join our data engineering team. The ideal candidate should have hands-on experience working with Google Cloud Platform (GCP) services, particularly BigQuery , and be capable of writing efficient SQL queries to support data transformation, analytics, and reporting tasks. Key Responsibilities: Design and im…","python, sql",2,0
Data Modeler,Tata Consultancy Services,"Mumbai, Maharashtra",IT Jobs,,2025-12-18 08:45:16+00:00,,"Job Title: Senior Data Modeler Exp Range: 8- 14 years Job Location: Kolkata Only Job Description: Required skill: Kimball, Inmon, Data Vault and Dimensional Modelling Data Modelling Expertise o Proficient in designing conceptual, logical and physical data models o Skilled in methodologies such as Kimball, Inmon, Data Vault and Dimensional Modelling o Experience with tools like Erwin, SQLDBM, PowerDesigner and Oracle Sql Developer Data Modeler Cloud & Platform Integration o Deep understanding of…",sql,1,0
Data Engineer,Tata Consultancy Services,India,IT Jobs,,2025-11-27 09:47:35+00:00,,"TCS Hiring for Azure Databricks,Data Engineering Role! TCS presents an excellent opportunity for Azure Databricks,Data Engineering Role Job Title: Azure Databricks,Data Engineering Work Location: Bhubaneswar Experience Range: 4 Mode of Interview : Walk - In Date of Virtual Interview: 29-11-2025 Only if you meet the requirement please do apply Desired Competencies (Technical/Behavioral Competency) • Develops and maintains scalable data pipelines for extraction, transformation and loading of data…",excel,1,0
Data Architect,Leapwork,India,IT Jobs,,2025-12-06 01:33:05+00:00,,"Company Overview At Leapwork, our vision is to break down the barriers between humans and computers through the world’s most accessible automation platform. We are the leading global AI-powered visual test automation solution, enabling some of the world’s largest enterprises to adopt, scale, and maintain automation – in under 30 days. In today’s environment, where efficiency, automation, and cost optimization are essential to enterprise growth, we are uniquely positioned to deliver impact. In 2…",,0,0
